OTU	Phylum	Subphylum	Order	Class	Family	Genus	Species	taxon	trophicMode	guild	confidenceRanking	citationSource
Cluster_103	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	undefined	Ceratocystis	Multi-affiliation	Ceratocystis	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	"Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_108	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum__histeridarum	Geotrichum	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	https://www.cdc.gov ((https://www.cdc.gov))
Cluster_128	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_164	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	Sporobolomyces	Sporobolomyces__sp.__LF1	Sporobolomyces	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
Cluster_200	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	Cryptosphaeria__sp.__ATCC__MYA-4414	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_226	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Multi-affiliation	Multi-affiliation	Pleosporaceae	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
Cluster_237	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Bionectriaceae	Geosmithia	Geosmithia__putterillii	Bionectriaceae	Pathotroph-Saprotroph	Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_283	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_288	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_306	Basidiomycota	undefined	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Multi-affiliation	Corticiaceae	Pathotroph-Saprotroph	Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_333	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_336	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	undefined	uncultured__Phaeosphaeriaceae	Phaeosphaeriaceae	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_371	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_372	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_373	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces__sp.__NBRC__105423	Spizellomyces	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_766	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenochaeta	Pyrenochaeta__lycopersici	Pleosporaceae	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
Cluster_77	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Cryptovalsa	Cryptovalsa__ampelina	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_98	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae	Multi-affiliation	Multi-affiliation	Diatrypaceae	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_110	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_131	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium__polysiphoniae	Chytridium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_136	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Multi-affiliation	Multi-affiliation	Ophiostomataceae	Pathotroph	Plant Pathogen	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_172	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_174	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar__arcticum	Triparticalcar	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_177	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_192	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Erysiphaceae	Blumeria	Blumeria__graminis__f.__sp.__bromi	Erysiphaceae	Pathotroph	Plant Pathogen	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_2	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_203	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Rhizidium	Rhizidium__endosporangiatum	Rhizidium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_220	Chytridiomycota	undefined	Chytridiomycetes	Cladochytriales	Cladochytriaceae	Cladochytrium	Cladochytrium__replicatum	Cladochytrium	Pathotroph	Plant Pathogen	Probable	List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf))
Cluster_221	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_223	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_224	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_225	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_228	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_231	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Multi-affiliation	Multi-affiliation	Ustilaginaceae	Pathotroph	Plant Pathogen	Probable	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_235	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_236	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_257	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_26	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Rhizidium	Rhizidium__endosporangiatum	Rhizidium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_275	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_281	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_284	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_287	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Multi-affiliation	Taphrina	Pathotroph	Plant Pathogen	Probable	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Cluster_296	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_297	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_30	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_316	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_34	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	undefined	Microdochium	Multi-affiliation	Microdochium	Pathotroph	na	na	na
Cluster_35	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Zygorhizidium	Zygorhizidium__planktonicum	Zygorhizidium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_375	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_4	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_40	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium__polysiphoniae	Chytridium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_411	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_413	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_460	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Zygorhizidium	Zygorhizidium__planktonicum	Zygorhizidium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_48	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_493	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_50	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_57	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_59	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_598	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium__polysiphoniae	Chytridium	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_66	Ascomycota	Pezizomycotina	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces	Gaeumannomyces__medullaris	Gaeumannomyces	Pathotroph	Plant Pathogen	Probable	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_70	Chytridiomycota	undefined	Chytridiomycetes	Cladochytriales	Cladochytriaceae	Cladochytrium	Cladochytrium__replicatum	Cladochytrium	Pathotroph	Plant Pathogen	Probable	List compiled by John Plischke III ((http://home.comcast.net/~grifola/fungionfungi.pdf))
Cluster_71	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_85	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_88	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	Gloeotinia	Gloeotinia__sp.__LJC-2011	Gloeotinia	Pathotroph	na	na	na
Cluster_93	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_96	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	Pathotroph	Plant Pathogen	Probable	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_10	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_109	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_113	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_114	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_115	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_117	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_118	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_119	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_12	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__rhizosphere__chytridiomycete	uncultured__rhizosphere__chytridiomycete	na	na	na	na
Cluster_121	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_122	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_125	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_129	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_133	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_135	Basidiomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_137	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_140	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_141	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_142	Basidiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Basidiomycota	uncultured__Basidiomycota	na	na	na	na
Cluster_145	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_151	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_153	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_154	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_156	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_157	Ascomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Ascomycota	na	na	na	na	na
Cluster_159	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_160	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
Cluster_161	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_165	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	uncultured__Chytridiomycota	na	na	na	na
Cluster_167	Ascomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Ascomycota	na	na	na	na	na
Cluster_169	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na
